case,ori,opti,speedup
p02,0.580,0.584,0.9932
p03,0.587,0.582,1.0086
p04,0.582,0.582,1.0000
p05,0.580,0.582,0.9966
p06,0.584,0.587,0.9949
p07,0.588,0.580,1.0138
p08,0.581,0.590,0.9847
p09,1.516,1.501,1.0100
p10,1.816,1.868,0.9722
p11,1.056,1.059,0.9972
p12,1.080,1.059,1.0198
p13,0.617,0.617,1.0000
p14,1.080,1.081,0.9991
p15,1.079,1.058,1.0198
p16,1.083,1.078,1.0046
p17,0.595,0.595,1.0000
p18,1.549,1.534,1.0098
p19,1.582,1.852,0.8542
p20,0.672,0.979,0.6864
p21,2.154,2.062,1.0446
p22,0.598,0.595,1.0050
p23,0.820,0.595,1.3782
p24,0.591,2.898,0.2039
p25,1.115,1.061,1.0509
